ds,yhat,yhat_lower,yhat_upper
2026-01-01 00:00:00,61.83681183134336,58.24780987174254,65.5091016078867
2026-01-01 00:05:00,62.00156997674593,58.377680919456814,65.47269637906125
2026-01-01 00:10:00,62.16632812214849,58.752842439426225,65.46906625604774
2026-01-01 00:15:00,62.33108626755106,58.81412654617423,65.79226261987723
2026-01-01 00:20:00,62.495844412953616,58.79516362739148,65.71408984721333
2026-01-01 00:25:00,62.66060255835618,59.39714561459524,66.23861555986183
2026-01-01 00:30:00,62.82536070375875,59.25184542577684,66.29339045633547
2026-01-01 00:35:00,62.99011884916131,59.51593111444809,66.71862063335948
2026-01-01 00:40:00,63.15487699456388,59.75532815434105,66.61914558300795
2026-01-01 00:45:00,63.319635139966444,60.17427250635758,66.71719601542615
2026-01-01 00:50:00,63.484393285369016,60.03698868103333,66.76346367064139
2026-01-01 00:55:00,63.64915143077158,60.237301015373,67.23174481014048
2026-01-01 01:00:00,63.81390957617413,60.198589709601215,67.2367822477948
2026-01-01 01:05:00,63.978667721576706,60.38642477812029,67.28998168514279
2026-01-01 01:10:00,64.14342586697927,60.66933078069855,67.71277734009296
2026-01-01 01:15:00,64.30818401238183,61.1045869476511,67.87081681682254
2026-01-01 01:20:00,64.4729421577844,60.57521652172111,68.04762937418339
2026-01-01 01:25:00,64.63770028468771,61.05718150866021,68.10404675737536
2026-01-01 01:30:00,64.80245841159102,61.28077598538196,68.34432750278954
2026-01-01 01:35:00,64.96721653849433,61.150916961529255,68.6974790965597
2026-01-01 01:40:00,65.13197466539765,61.769174766526724,68.60250633102618
2026-01-01 01:45:00,65.29673279230096,61.68383811539872,68.79249356126412
2026-01-01 01:50:00,65.46149091920427,61.74245656259129,69.02630071544311
2026-01-01 01:55:00,65.62624904610757,62.18846280361111,69.07291118681981
2026-01-01 02:00:00,65.79100717301088,62.342372232329126,69.54948906582467
2026-01-01 02:05:00,65.95576529991419,62.57156086964485,69.5621659756556
2026-01-01 02:10:00,66.12052342681751,62.807063600412114,69.48374935311543
2026-01-01 02:15:00,66.28528155372082,62.757414440916556,69.9229029797958
2026-01-01 02:20:00,66.45003968062412,62.9831288340694,69.9028348874608
2026-01-01 02:25:00,66.61479780752742,63.19602345143101,70.19469300978223
2026-01-01 02:30:00,66.77955593443073,63.34512909215031,70.20019798803885
2026-01-01 02:35:00,66.94431406133405,63.42792201701973,70.48100613080607
2026-01-01 02:40:00,67.10907218823736,63.51634600075956,70.73531380962592
2026-01-01 02:45:00,67.27364104964667,64.10764356104701,70.87013262222231
2026-01-01 02:50:00,67.43820991105596,63.68712420141548,71.0358474570029
2026-01-01 02:55:00,67.60277877246526,63.99202255781436,70.86183478591214
2026-01-01 03:00:00,67.76734763387455,64.18735583277154,71.20292446443835
2026-01-01 03:05:00,67.93191649528386,64.40492513124468,71.45807910138974
2026-01-01 03:10:00,68.09648535669315,64.45434049810007,71.590080559693
2026-01-01 03:15:00,68.26105421810244,64.85173578760336,71.80040184583252
2026-01-01 03:20:00,68.42562307951174,64.82320477679018,71.9696216493268
2026-01-01 03:25:00,68.59019194092104,65.26973950099078,71.91608561039622
2026-01-01 03:30:00,68.75476080233034,65.22176315606971,72.48344856909749
2026-01-01 03:35:00,68.91932966373963,65.46638140357295,72.3125080643464
2026-01-01 03:40:00,69.08389852514892,66.05290713928987,72.74787819073609
2026-01-01 03:45:00,69.24846738655823,65.61374744633268,72.49457200150837
2026-01-01 03:50:00,69.41303624796753,66.1200530877373,73.15835558871477
2026-01-01 03:55:00,69.57760510937683,66.16623961813283,73.08963517723318
2026-01-01 04:00:00,69.74217397078613,66.50484017095091,73.18930217648763
2026-01-01 04:05:00,69.88875019236718,66.4165786773678,73.41022150340714
2026-01-01 04:10:00,70.03532641394824,66.51005392668965,73.6508734822518
2026-01-01 04:15:00,70.1819026355293,66.75656948218399,73.36910067925982
